Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mycobacterium malmoense strain DSM 44163 chromosome, complete genome",Mycobacterium malmoense,1563,1813,21%,0.0,77.02,5319698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP060015.1?report=genbank&log$=nucltop&blast_rank=45&RID=V0G6801W016"",""CP060015.1"")"
"Mycobacterium malmoense strain ATCC 29571 chromosome, complete genome",Mycobacterium malmoense,1563,1813,21%,0.0,77.02,5319859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP080999.1?report=genbank&log$=nucltop&blast_rank=46&RID=V0G6801W016"",""CP080999.1"")"
Mycobacterium canettii CIPT 140010059 complete genome,Mycobacterium canettii CIPT 140010059,1557,2917,27%,0.0,80.15,4482059,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HE572590.1?report=genbank&log$=nucltop&blast_rank=47&RID=V0G6801W016"",""HE572590.1"")"
Mycobacterium canettii CIPT 140070008 complete genome,Mycobacterium canettii CIPT 140070008,1546,2928,27%,0.0,80.06,4420197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FO203508.1?report=genbank&log$=nucltop&blast_rank=48&RID=V0G6801W016"",""FO203508.1"")"
Mycobacterium canettii CIPT 140060008 complete genome,Mycobacterium canettii CIPT 140060008,1546,2946,28%,0.0,80.05,4432426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FO203507.1?report=genbank&log$=nucltop&blast_rank=49&RID=V0G6801W016"",""FO203507.1"")"
Mycobacterium canettii CIPT 140070010 complete genome,Mycobacterium canettii CIPT 140070010,1541,2884,27%,0.0,80.00,4525948,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FO203509.1?report=genbank&log$=nucltop&blast_rank=50&RID=V0G6801W016"",""FO203509.1"")"
"Mycobacterium orygis strain MUHC/MB/EPTB/Orygis/51145 chromosome, complete genome",Mycobacterium orygis,1541,2917,27%,0.0,80.01,4352140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP063804.2?report=genbank&log$=nucltop&blast_rank=51&RID=V0G6801W016"",""CP063804.2"")"
"Mycobacterium tuberculosis variant bovis strain Mb1855 chromosome, complete genome",Mycobacterium tuberculosis variant bovis,1541,2786,24%,0.0,80.01,4362894,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP096844.1?report=genbank&log$=nucltop&blast_rank=52&RID=V0G6801W016"",""CP096844.1"")"
"Mycobacterium canetti strain ET1291 chromosome, complete genome",Mycobacterium canetti,1541,2917,27%,0.0,80.01,4515631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP141297.1?report=genbank&log$=nucltop&blast_rank=53&RID=V0G6801W016"",""CP141297.1"")"
"Mycobacterium tuberculosis variant bovis strain Mb3114 chromosome, complete genome",Mycobacterium tuberculosis variant bovis,1541,2786,24%,0.0,80.01,4353147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP096842.1?report=genbank&log$=nucltop&blast_rank=54&RID=V0G6801W016"",""CP096842.1"")"
"Mycobacterium tuberculosis strain N3913 chromosome, complete genome",Mycobacterium tuberculosis,1541,2791,24%,0.0,80.01,4408017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP069063.1?report=genbank&log$=nucltop&blast_rank=55&RID=V0G6801W016"",""CP069063.1"")"
"Mycobacterium tuberculosis strain SEA11278P6C4 chromosome, complete genome",Mycobacterium tuberculosis,1541,2917,27%,0.0,80.01,4410029,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP041803.1?report=genbank&log$=nucltop&blast_rank=56&RID=V0G6801W016"",""CP041803.1"")"
"Mycobacterium tuberculosis variant bovis strain Mb3601 genome assembly, chromosome: Mb3601",Mycobacterium tuberculosis variant bovis,1541,2780,24%,0.0,80.01,4365068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR699570.1?report=genbank&log$=nucltop&blast_rank=57&RID=V0G6801W016"",""LR699570.1"")"
"Mycobacterium tuberculosis variant microti strain Mycobacterium microti Maus IV genome assembly, chromosome: MmicMaus4",Mycobacterium tuberculosis variant microti,1535,2906,27%,0.0,79.96,4385022,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR882497.1?report=genbank&log$=nucltop&blast_rank=58&RID=V0G6801W016"",""LR882497.1"")"
"Mycobacterium tuberculosis variant microti strain Mycobacterium microti ATCC 35782 genome assembly, chromosome: MmicATCC35782",Mycobacterium tuberculosis variant microti,1535,2900,27%,0.0,79.96,4366549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR882496.1?report=genbank&log$=nucltop&blast_rank=59&RID=V0G6801W016"",""LR882496.1"")"
"Mycobacterium tuberculosis strain N1201 chromosome, complete genome",Mycobacterium tuberculosis,1535,2786,24%,0.0,79.96,4386429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP069066.1?report=genbank&log$=nucltop&blast_rank=60&RID=V0G6801W016"",""CP069066.1"")"
"Mycobacterium tuberculosis clone 464A GyrA (gyrA) gene, complete cds",Mycobacterium tuberculosis,1535,1535,15%,0.0,79.96,2517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ699153.1?report=genbank&log$=nucltop&blast_rank=61&RID=V0G6801W016"",""JQ699153.1"")"
"Mycobacterium tuberculosis strain RW-TB008 chromosome, complete genome",Mycobacterium tuberculosis,1535,2911,27%,0.0,79.96,4379910,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP048071.1?report=genbank&log$=nucltop&blast_rank=62&RID=V0G6801W016"",""CP048071.1"")"
"Mycobacterium tuberculosis variant bovis strain Mb1101 chromosome, complete genome",Mycobacterium tuberculosis variant bovis,1535,2780,24%,0.0,79.96,4343846,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP096845.1?report=genbank&log$=nucltop&blast_rank=63&RID=V0G6801W016"",""CP096845.1"")"
Mycobacterium africanum strain UT307 genome,Mycobacterium tuberculosis variant africanum,1535,2952,28%,0.0,79.96,4493502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP014617.1?report=genbank&log$=nucltop&blast_rank=64&RID=V0G6801W016"",""CP014617.1"")"
"Mycobacterium tuberculosis strain ITM-2015-00021 chromosome, complete genome",Mycobacterium tuberculosis,1535,2911,27%,0.0,79.96,4381937,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP154612.1?report=genbank&log$=nucltop&blast_rank=65&RID=V0G6801W016"",""CP154612.1"")"
"Mycobacterium tuberculosis strain DS15367 DNA gyrase subunit A (gyrA) gene, complete cds",Mycobacterium tuberculosis,1535,1535,15%,0.0,79.96,2517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT339509.1?report=genbank&log$=nucltop&blast_rank=66&RID=V0G6801W016"",""KT339509.1"")"
"Mycobacterium tuberculosis strain MTb-Oman-3211198 chromosome, complete genome",Mycobacterium tuberculosis,1535,2952,28%,0.0,79.96,4374181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP130810.1?report=genbank&log$=nucltop&blast_rank=67&RID=V0G6801W016"",""CP130810.1"")"
"Mycobacterium tuberculosis variant microti strain Mycobacterium microti 94-2272 genome assembly, chromosome: Mmic942272",Mycobacterium tuberculosis variant microti,1535,2906,27%,0.0,79.96,4384561,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR882500.1?report=genbank&log$=nucltop&blast_rank=68&RID=V0G6801W016"",""LR882500.1"")"
"Mycobacterium tuberculosis isolate WBB1457_IB_036-1 genome assembly, chromosome: WBB1457",Mycobacterium tuberculosis,1535,2952,28%,0.0,79.96,4389577,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ222506.1?report=genbank&log$=nucltop&blast_rank=69&RID=V0G6801W016"",""OZ222506.1"")"
"Mycobacterium tuberculosis strain DS27535 DNA gyrase subunit A (gyrA) gene, complete cds",Mycobacterium tuberculosis,1535,1535,15%,0.0,79.96,2517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT339443.1?report=genbank&log$=nucltop&blast_rank=70&RID=V0G6801W016"",""KT339443.1"")"
"Mycobacterium tuberculosis variant microti OV254 strain Mycobacterium microti OV254 genome assembly, chromosome: MmicOV254",Mycobacterium tuberculosis variant microti OV254,1535,2906,27%,0.0,79.96,4369915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR882499.1?report=genbank&log$=nucltop&blast_rank=71&RID=V0G6801W016"",""LR882499.1"")"
"Mycobacterium tuberculosis clone 654A GyrA (gyrA) gene, complete cds",Mycobacterium tuberculosis,1535,1535,15%,0.0,79.96,2517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ699118.1?report=genbank&log$=nucltop&blast_rank=72&RID=V0G6801W016"",""JQ699118.1"")"
"Mycobacterium tuberculosis variant bovis strain Mb2377 chromosome, complete genome",Mycobacterium tuberculosis variant bovis,1535,2780,24%,0.0,79.96,4338946,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP096846.1?report=genbank&log$=nucltop&blast_rank=73&RID=V0G6801W016"",""CP096846.1"")"
"Mycobacterium tuberculosis strain MTb-Oman-3212705 chromosome, complete genome",Mycobacterium tuberculosis,1535,2952,28%,0.0,79.96,4346887,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP130799.1?report=genbank&log$=nucltop&blast_rank=74&RID=V0G6801W016"",""CP130799.1"")"
"Mycobacterium orygis strain NIAB_BDWBCSHFL_1 chromosome, complete genome",Mycobacterium orygis,1535,2911,27%,0.0,79.96,4347055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP138660.1?report=genbank&log$=nucltop&blast_rank=75&RID=V0G6801W016"",""CP138660.1"")"
"Mycobacterium tuberculosis variant microti strain 12 chromosome, complete genome",Mycobacterium tuberculosis variant microti,1533,2898,27%,0.0,79.96,4370115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP010333.1?report=genbank&log$=nucltop&blast_rank=76&RID=V0G6801W016"",""CP010333.1"")"
Mycobacterium tuberculosis strain 16 chromosome,Mycobacterium tuberculosis,1530,2906,27%,0.0,79.91,4415430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP158172.1?report=genbank&log$=nucltop&blast_rank=77&RID=V0G6801W016"",""CP158172.1"")"
"Mycobacterium tuberculosis isolate WBB445_ARS7496 genome assembly, chromosome: WBB445",Mycobacterium tuberculosis,1530,2946,28%,0.0,79.91,4410526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ222505.1?report=genbank&log$=nucltop&blast_rank=78&RID=V0G6801W016"",""OZ222505.1"")"
"Mycobacterium tuberculosis strain UTB-41 chromosome, complete genome",Mycobacterium tuberculosis,1530,2915,27%,0.0,79.91,4411811,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP200009.1?report=genbank&log$=nucltop&blast_rank=79&RID=V0G6801W016"",""CP200009.1"")"
"Mycobacterium tuberculosis strain 2-0111P6C4 chromosome, complete genome",Mycobacterium tuberculosis,1530,2906,27%,0.0,79.91,4438236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP180707.1?report=genbank&log$=nucltop&blast_rank=80&RID=V0G6801W016"",""CP180707.1"")"
"Mycobacterium tuberculosis strain UTB-4 chromosome, complete genome",Mycobacterium tuberculosis,1530,2946,28%,0.0,79.91,4411656,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP200024.1?report=genbank&log$=nucltop&blast_rank=81&RID=V0G6801W016"",""CP200024.1"")"
"Mycobacterium tuberculosis strain K60KI044 genome assembly, chromosome: I",Mycobacterium tuberculosis,1530,2906,27%,0.0,79.91,4429135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ347329.1?report=genbank&log$=nucltop&blast_rank=82&RID=V0G6801W016"",""OZ347329.1"")"
"Mycobacterium tuberculosis strain UTB-34 chromosome, complete genome",Mycobacterium tuberculosis,1530,2928,28%,0.0,79.91,4411903,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP200010.1?report=genbank&log$=nucltop&blast_rank=83&RID=V0G6801W016"",""CP200010.1"")"
"Mycobacterium tuberculosis isolate WBB1456_11-00225-4 genome assembly, chromosome: WBB1456",Mycobacterium tuberculosis,1530,2946,28%,0.0,79.91,4409920,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ222402.1?report=genbank&log$=nucltop&blast_rank=84&RID=V0G6801W016"",""OZ222402.1"")"
"Mycobacterium tuberculosis strain UTB-16 chromosome, complete genome",Mycobacterium tuberculosis,1530,2915,27%,0.0,79.91,4411624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP200018.1?report=genbank&log$=nucltop&blast_rank=85&RID=V0G6801W016"",""CP200018.1"")"
"Mycobacterium tuberculosis strain 6 chromosome, complete genome",Mycobacterium tuberculosis,1530,2906,27%,0.0,79.91,4431145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP136202.1?report=genbank&log$=nucltop&blast_rank=86&RID=V0G6801W016"",""CP136202.1"")"
"Mycobacterium tuberculosis strain MasanXDR_04 chromosome, complete genome",Mycobacterium tuberculosis,1530,2780,24%,0.0,79.91,4407175,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP189998.1?report=genbank&log$=nucltop&blast_rank=87&RID=V0G6801W016"",""CP189998.1"")"
"Mycobacterium tuberculosis strain K50KI065 genome assembly, chromosome: I",Mycobacterium tuberculosis,1530,2946,28%,0.0,79.91,3621642,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ347414.1?report=genbank&log$=nucltop&blast_rank=88&RID=V0G6801W016"",""OZ347414.1"")"
"Mycobacterium tuberculosis strain MasanXDR_02 chromosome, complete genome",Mycobacterium tuberculosis,1530,2780,24%,0.0,79.91,4407231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP190000.1?report=genbank&log$=nucltop&blast_rank=89&RID=V0G6801W016"",""CP190000.1"")"
